символ;частота;вероятность
" ";995;0.199399
"о";421;0.084369
"е";311;0.062325
"а";285;0.057114
"н";243;0.048697
"и";241;0.048297
"т";232;0.046493
"л";163;0.032665
"р";154;0.030862
"с";152;0.030461
"в";119;0.023848
"к";110;0.022044
"д";107;0.021443
"п";103;0.020641
"у";101;0.020240
"м";90;0.018036
"я";77;0.015431
"ь";77;0.015431
"б";71;0.014228
"ы";71;0.014228
".";68;0.013627
",";63;0.012625
"ч";55;0.011022
"г";50;0.010020
"з";49;0.009820
"ж";40;0.008016
"ш";34;0.006814
"й";32;0.006413
"-";29;0.005812
"О";27;0.005411
"Н";26;0.005210
"х";25;0.005010
"ю";23;0.004609
"К";21;0.004208
"ц";20;0.004008
"А";20;0.004008
"?";19;0.003808
"Е";18;0.003607
"И";18;0.003607
"С";18;0.003607
"Т";16;0.003206
"В";15;0.003006
"Д";14;0.002806
"э";14;0.002806
"П";13;0.002605
"щ";13;0.002605
"!";12;0.002405
"У";10;0.002004
"Р";9;0.001804
"""";8;0.001603
"(";8;0.001603
")";8;0.001603
"Л";8;0.001603
"Я";8;0.001603
"М";8;0.001603
"Ц";6;0.001202
"Б";5;0.001002
"З";5;0.001002
"Ы";4;0.000802
"ф";3;0.000601
"1";3;0.000601
"N";3;0.000601
"Ь";2;0.000401
"Г";2;0.000401
"2";2;0.000401
"Х";2;0.000401
"3";1;0.000200
"Ъ";1;0.000200
":";1;0.000200
"9";1;0.000200
"8";1;0.000200
"Щ";1;0.000200
"Ч";1;0.000200
"Ю";1;0.000200
"Э";1;0.000200
"Й";1;0.000200
"ъ";1;0.000200
